duty_addr,duty_div,duty_div_nam,duty_emcls,duty_emcls_name,duty_eryn,duty_etc,duty_inf,duty_mapimg,duty_name,duty_tel1,duty_time1c,duty_time1s,duty_time2c,duty_time2s,duty_time3c,duty_time3s,duty_time4c,duty_time4s,duty_time5c,duty_time5s,hpid,post_cdn1,post_cdn2,rnum,wgs84Lat,wgs84Lon,duty_time6c,duty_time6s,duty_tel3,duty_time8c,duty_time8s,duty_time7c,duty_time7s
부산광역시 기장군 기장읍 기장해안로 552,D,요양병원,G099,응급의료기관 이외,2,점심시간 12:00~13:00 / ,,버스정류장: 대변항 입구,(의)피터의료재단새소망요양병원,051-722-4848,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,A1202377,460,79 ,11,35.22279890040599,129.226905598952,1300,0900,,,,,
부산광역시 부산진구 가야대로 767-1 (부전동),G,한의원,G099,응급의료기관 이외,2,점심시간 없음,,"1, 2호선 서면역 9번출구",(재)원불교부산원광한의원,051-809-3913,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,B1201038,472,57 ,12,35.1581854321279,129.05562013921988,1300,0900,,,,,
"부산광역시 기장군 정관읍 정관6로 31, 3-8, 10층",B,병원,G099,응급의료기관 이외,2,"평일    산부인과 연장 진료 18:00 ~ 20:00
토요일 산부인과 연장 진료 13:00 ~ 15:00 
점심시간 12:30~13:30","산부인과, 소아청소년과, 내과, 외과, 정형외과, 가정의학과, 신경과, 영상의학과, 마취통증의학과",*버스정류장 - 정관로얄듀크2차 / 정관농협기업지점,(재)일신기독교선교회정관일신기독병원,051-780-0600,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,A1205825,460,17 ,13,35.319697558300014,129.17745060070806,1230,0830,,1230,0830,,
"부산광역시 부산진구 가야대로 767-1, 5층 (부전동, 원광메디컬센터)",N,치과의원,G099,응급의료기관 이외,2,점심시간 13:00 ~ 14:00,,"1,2호선 서면역 9번 출구/서면  롯데호텔 맞은편 원광메디컬센터 5층",1945김근치과의원,051-809-4707,1730,0930,1730,0930,1730,0930,1730,0930,1730,0930,A1203400,472,57 ,14,35.15805563298602,129.05563335073228,1300,0900,,,,,
"부산광역시 북구 시랑로 75, 2층 (구포동)",N,치과의원,G099,응급의료기관 이외,2,점심 13:00~14:00,,버스정류장: 태양탕 정류장 하차 ,2080치과의원,051-338-2080,2030,0930,2030,0930,2030,0930,2030,0930,1830,0930,A1202645,466,21 ,15,35.199112635867166,129.00598251455358,1400,0930,,,,,
"부산광역시 해운대구 아랫반송로 12, 2층 (반송동, 서울메디컬센터)",N,치과의원,G099,응급의료기관 이외,2,점심시간13:00-14:30,,4호선 영산대역 2번 출구,2080치과의원,051-583-2080,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,A1206111,480,18 ,16,35.2253429625855,129.14717683099732,1400,0930,,,,,
"부산광역시 해운대구 해운대로 814, B동 424호 (좌동, 세종월드)",N,치과의원,G099,응급의료기관 이외,2,점심 13:00~14:00 ,,2호선 장산역 5번출구/해동월드프라자,21세기치과의원,051-703-7533,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,A1202727,481,11 ,17,35.16961444397994,129.1778631331475,1400,0930,,,,,
"부산광역시 동래구 석사로 5, 3층 (사직동)",G,한의원,G099,응급의료기관 이외,2,점심 13:00-14:00,,"3호선 사직역 3번 출구
버스정류장 : 사직사거리",365늘봄한의원,051-895-9000,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,B1201750,478,59 ,18,35.198064165089605,129.06067361195952,1500,0930,,1400,1000,1400,1000
"부산광역시 부산진구 중앙대로 751, 부전메디컬빌딩 1,6,13층 (부전동)",G,한의원,G099,응급의료기관 이외,2,주말 유선문의 후 방문요망,,,365늘푸른한의원,051-818-1687,2030,0930,2030,0930,2030,0930,2030,0930,2030,0930,B1201911,472,54 ,19,35.1597512025862,129.060307942888,1530,0930,,1530,0930,1530,0930
"부산광역시 해운대구 해운대로 663, 에이동 209호 (우동, 해운대비스타동원)",G,한의원,G099,응급의료기관 이외,2,점심시간 12:30-14:00,,2호선 해운대역 2번출구,365동백한의원,051-711-7588,1830,0900,1830,0900,1400,0900,1830,0900,1830,0900,B1201803,480,86 ,20,35.1659202892898,129.162169592708,1400,0900,,,,,
"부산광역시 수영구 연수로 408, 8-12층 (광안동)",M,치과병원,G099,응급의료기관 이외,2,12:30 - 14:00 휴게시간,,,365드림치과병원,051-1660-2811,2100,0930,2100,0930,2100,0930,2100,0930,2100,0930,A1206851,482,42 ,21,35.1681242715596,129.113586884241,1700,0930,,1700,0930,1700,0930
"부산광역시 부산진구 동평로 106, 4층 일부(401호,402호) (당감동)",C,의원,G099,응급의료기관 이외,2,"월요일~토요일 점심시간 12:30 - 14:00
일요일/공휴일 점심시간 없이 진료","부산광역시 부산진구 당감동에 위치하고 있는 365든든한통증의학과 입니다.
저희는 일요일/공휴일 365일 진료하며 목, 허리, 무릎, 어깨, 손, 발, 대상포진 등의 척추 및 관절, 만성통증을 진단하고 치료하는 통증클리닉입니다.",버스정류장: 당감시장,365든든한마취통증의학과의원,051-893-7750,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,A1206198,471,81 ,22,35.1655853271925,129.041134914003,1400,0900,,1400,0900,1400,0900
"부산광역시 부산진구 중앙대로 907, 4~6층 (양정동)",C,의원,G099,응급의료기관 이외,2,"
설 당일 휴진
그외 모두  진료  ",365 류내과는  언제든  오시면 됩니다.  ,,365류내과의원,051-710-3655,2000,0900,1800,0900,2000,0900,1800,0900,2000,0900,A1206913,472,13 ,23,35.1713924663594,129.06964649596,1300,0900,,1300,0900,1300,0900
"부산광역시 수영구 수영로 699, 수영동 디온 플레이스 5층 (수영동)",G,한의원,G099,응급의료기관 이외,2,,,,365마디척한의원추의원,051-752-8987,2000,0900,1800,0900,2000,0900,1800,0900,2000,0900,B1201985,482,28 ,24,35.1678898830305,129.115852048108,1300,0900,,,,,
"부산광역시 금정구 서동로 170, 2층 (서동)",C,의원,G099,응급의료기관 이외,2,"13:00 - 14:00 휴게시간
일요일 문의",,,365맑은속내과의원,051-523-0365,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,A1207027,463,27 ,25,35.2144015488928,129.104961512154,1300,0900,,,,1300,0900
"부산광역시 기장군 일광읍 해빛로 17, 201호",G,한의원,G099,응급의료기관 이외,2,,,동해 일광역 2번출구,365부부한의원,051-724-7633,1300,0930,1300,0930,1300,0930,1300,0930,2000,0930,B1201807,460,48 ,26,35.2663010648876,129.226020704517,1300,0930,,1300,0930,1300,0930
"부산광역시 동래구 사직북로 4, 사직동 자이언츠 파크 602,603호 (사직동)",C,의원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,,"3호선 사직역 1번 출구, 버스정류장 : 사직야구장",365사직더나은마취통증의학과의원,051-555-7553,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,A1204817,478,66 ,27,35.19626823550001,129.0613571899014,1400,0900,,,,,
"부산광역시 동래구 사직북로 6, 2층 (사직동)",C,의원,G099,응급의료기관 이외,2,,,,365사직성모의원,051-501-0119,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,A1206948,478,66 ,28,35.1965227949203,129.060982459086,1800,0900,,1800,0900,1800,0900
"부산광역시 중구 해관로 1 (동광동1가, 한국투자증권(주) 부산사옥)",N,치과의원,G099,응급의료기관 이외,2,점심12:30-14:00,,1호선 남포역 7번출구,365석치과의원,051-714-7141,2000,1000,2000,1000,2000,1000,2000,1000,1800,1400,A1204996,489,55 ,29,35.10337180978982,129.03582443798123,1400,1000,,,,,
"부산광역시 동래구 충렬대로 353, 1~2층 일부호 (안락동)",N,치과의원,G099,응급의료기관 이외,2,,,,365안락한치과의원,051-528-0049,2100,0930,2100,0930,2100,0930,2100,0930,2100,0930,A1206810,477,86 ,30,35.1986137659279,129.097592962672,1800,0930,,1800,0930,1800,0930
"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1403호 (우동)",C,의원,G099,응급의료기관 이외,2,,,2호선 센텀시티역 11번 출구,365엠씨람스에스씨의원,1577-3653,2000,1100,2000,1100,1900,1100,2000,1100,2000,1100,A1206250,480,60 ,31,35.1671970117476,129.132039053517,1500,1000,,,,,
"부산광역시 부산진구 서면로 74 (부전동, 아이온시티빌딩)",B,병원,G099,응급의료기관 이외,2,점심시간 없음,,"1,2호선 서면역 7번 출구",365엠씨병원,051-809-3655,2000,1100,2000,1100,2000,1100,2000,1100,2000,1100,A1205431,472,86 ,32,35.1572162885,129.0581370854,1500,1000,,,,,
"부산광역시 남구 분포로 111, 1003동 302호 (용호동, 엘지메트로시티)",G,한의원,G099,응급의료기관 이외,2,,,,365용호한의원,051-715-3652,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,B1201930,485,16 ,33,35.1268954263812,129.109627235385,1400,0930,,1400,0930,1400,0930
부산광역시 동구 망양로 893-1 (범일동),C,의원,G099,응급의료기관 이외,2,점심13:00~14:00,,범일4동 새마을금고 근처,365일건강가정의학과의원,051-635-9918,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,A1200917,487,02 ,34,35.14028479052675,129.04880683253867,1700,0900,,,,,
"부산광역시 강서구 명지국제8로 233, 3층 (명지동)",C,의원,G099,응급의료기관 이외,2,"점심 13:00-14:00
저녁 18:00-19:00",,,365텐텐이비인후과의원,051-292-0365,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,A1206023,467,26 ,35,35.098533832078836,128.91829255214034,2200,1000,,2200,1000,2200,1000
"부산광역시 강서구 명지국제8로 229, 부산명지지구아이메디컬 3층 (명지동)",G,한의원,G099,응급의료기관 이외,2,12:30 - 14:00 휴게시간,,,365통치한의원,0507-1398-0620,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,B1201994,467,73 ,36,35.0986036375635,128.918010184099,1500,0930,,,,1500,0930
"부산광역시 연제구 중앙대로 1113, 진보빌딩 3층 (연산동)",N,치과의원,G099,응급의료기관 이외,2,12:30~14:00 점심,,,365편안한 치과의원,051-791-2365,1300,0900,1800,0930,2000,0930,1800,0930,1800,0930,A1206668,475,24 ,37,35.1869689149023,129.081088370638,1300,0900,,1300,0900,1300,0900
"부산광역시 수영구 황령대로489번길 24, 4층 (남천동)",C,의원,G099,응급의료기관 이외,2,"점심13:00-14:00 / 2,4째주 일요일휴무",,버스정류장: 남천동 메가마트 2층,365행복담은의원,051-623-9273,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,A1200464,483,13 ,38,35.1372560935031,129.11099347620336,1800,0930,,1800,0930,1800,0930
"부산광역시 사하구 낙동대로 466, 4층 (하단동)",N,치과의원,G099,응급의료기관 이외,2,12:30 - 14:00 휴게시간,,,365효플란트치과의원,051-976-2875,2030,0930,1830,0930,2030,0930,1830,0930,1830,0930,A1206888,493,25 ,39,35.1064244317894,128.968726681207,1330,0930,,,,1330,0930
"부산광역시 수영구 수영로 693, BNK 수영타워 5층 501호 (수영동)",N,치과의원,G099,응급의료기관 이외,2,12:45 - 14:00 휴게시간,,,59디지털치과의원,051-752-2875,1845,0930,1845,0930,2100,0930,1845,0930,1845,0930,A1206887,482,28 ,40,35.1678758279843,129.115470218982,1400,0945,,,,,
"부산광역시 연제구 중앙대로 1112, 7층 (연산동)",C,의원,G099,응급의료기관 이외,2,"점심시간 13:00-14:00/

매주 수요일 오전진료/

토요일 2주,4주 휴진",내분비내과,"1,3호선 연산역 16번출구",7내과의원,051-866-9777,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,A1201955,475,20 ,41,35.1868138888889,129.08169444444593,1200,0930,,,,,
"부산광역시 사하구 장림번영로 25, 2층 201호 (장림동)",G,한의원,G099,응급의료기관 이외,2,,,,88경희한의원,051-264-1075,,,,,,,,,,,B1201984,494,75 ,42,35.0809861740721,128.968187259195,,,,,,,
"부산광역시 동래구 금강로 91, 지상 4~6층 (온천동)",C,의원,G099,응급의료기관 이외,2,점심 12:30~14:00,,,99서울소아청소년과의원,051-556-1106,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,A1205774,477,05 ,43,35.2171231677509,129.078367879932,1800,0900,,1800,0900,1800,0900
"부산광역시 부산진구 가야대로 769, ABC메디컬센터 11층 (부전동)",C,의원,G099,응급의료기관 이외,2,"점심 13:00-14:00/공휴일 전화 후 방문요망
",,"1,2호선 서면역 9번 출구 ",ABC성형외과의원,051-817-0100,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,A1201092,472,57 ,44,35.15794486113837,129.05578857629664,1430,0930,,1300,0930,,
"부산광역시 부산진구 가야대로 769, ABC메디컬센터 1, 2층 (부전동)",C,의원,G099,응급의료기관 이외,2,"점심시간 13:00-14:00
공휴일 진료 방문 전 전화요망",,"1,2호선 서면역 7번출구/ABC 메디컬센터",ABC안과의원,051-816-7582,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,A1201689,472,57 ,45,35.157901698398526,129.05578310158407,1400,0930,,1230,0930,,
"부산광역시 해운대구 좌동순환로 506, 804호 (중동, 영풍리젠시)",N,치과의원,G099,응급의료기관 이외,2,점심 12:30~14:00,,2호선 중동역 5번 출구/영풍리젠시 8층,CDC해운대어린이치과의원,051-746-1275,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,A1203161,481,01 ,46,35.166065568806495,129.16873050963937,1400,1000,,,,,
부산광역시 중구 대청로 80 (대청동3가),C,의원,G099,응급의료기관 이외,2,점심12:30~14:00,,버스정류장: 대청사거리,J&L우리들내과의원,051-256-7533,1300,0900,1300,0900,1300,0900,1300,0900,1800,0900,A1202142,489,46 ,47,35.1027830718,129.0285855915,1230,0900,,,,,
"부산광역시 서구 구덕로 224, 3층 301호 (부민동1가)",G,한의원,G099,응급의료기관 이외,2,점심 12:30~13:30,,1호선 토성역 1번출구/동아대학교 부민캠퍼스 맞은편,JMP한의원,051-243-6700,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,B1201436,492,23 ,48,35.1046086113966,129.0202923214251,,,,,,,
"부산광역시 동래구 명안로85번길 52, 5층 (명장동, 명장랜드마크)",N,치과의원,G099,응급의료기관 이외,2,,점심12;30-14:00,4호선 명장역 2번출구/명장랜드마크 5층,K&K서울치과의원,051-522-0115,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,A1203576,477,72 ,49,35.20485823003264,129.1017981383549,1230,0900,,,,,
부산광역시 부산진구 가야대로 784 (부전동),C,의원,G099,응급의료기관 이외,2,점심시간 13:00-14:00,,"1,2호선 서면역 7번출구",LK성형외과의원,051-817-0523,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,A1201257,472,85 ,50,35.15732969941865,129.05740255965304,1600,1000,,,,,
부산광역시 기장군 여락송정로 363 (철마면) ,W,기타(구급차),G099,응급의료기관 이외,2,,,,S&T모티브,051-509-2383,,,,,,,,,,,G1200003,460,02,51,35.300586632942654,129.1368479965395,,,,,,,
부산광역시 부산진구 가야대로784번길 33 (부전동),C,의원,G099,응급의료기관 이외,2,,,"1,2호선 서면역 7번 출구",S보톡성형외과의원,051-556-7788,1730,1400,1730,1400,1730,1400,1730,1400,1730,1000,A1200971,472,85 ,52,35.155953891372796,129.05733280866798,1400,1000,,,,,
"부산광역시 남구 수영로 209, 103호 (대연동, 일동지에닌상가)",C,의원,G099,응급의료기관 이외,2,점심 13:00~14:00 ,,2호선 대연역 6번 출구,THE밝은안과의원,051-612-1116,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,A1200754,484,45 ,53,35.13551157273466,129.0893639838036,1300,0900,,,,,
부산광역시 부산진구 가야대로784번길 36 (부전동),C,의원,G099,응급의료기관 이외,2,점심시간 12:30-14:30,,롯데백화점 후문 근방,The예쁜얼굴만들기성형외과의원,051-808-1616,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,A1202141,472,87,54,35.15579452534053,129.05716638329156,1700,1000,,,,,
"부산광역시 사하구 사하로 200, 502호 (괴정동)",N,치과의원,G099,응급의료기관 이외,2,점심시간 13:00-14:30 / 토요일 진료 가변적으로 전화 후 방문 요망,,괴정파출소 맞은편 ,UIC아름다운치과의원,051-202-2804,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,A1203286,493,55 ,55,35.099559658454744,128.99364075586288,1400,1000,,,,,
"부산광역시 남구 수영로 323, 4층 402호 (대연동, 태강프라자)",N,치과의원,G099,응급의료기관 이외,2,,,2호선 경성대부경대역 1번출구/태강프라자 4층,W 치과의원,051-625-2842,2000,1300,2000,1300,2000,1300,2000,1300,2000,1300,A1203045,484,34 ,56,35.1382159384066,129.10103438820386,1400,1000,,,,,
"부산광역시 남구 분포로 145, 2086-2, 2087-1호 (용호동, 더블유)",C,의원,G099,응급의료기관 이외,2,"설, 추석 당일 휴진
점심, 저녁시간 없음",,버스정류장: 더블유 상가,W365메디컬의원,051-622-0365,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,A1205953,485,15 ,57,35.13422790354133,129.11121804221588,1600,0900,,1600,0900,1600,0900
"부산광역시 부산진구 가야대로 767-1 (부전동, 원광메디컬)",C,의원,G099,응급의료기관 이외,2,,,"롯데백화점 정문 맞은편
1,2호선 서면역 9번 출구",W성형외과의원,051-816-0100,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,A1200319,472,57 ,58,35.158004829700005,129.05564192940136,1700,0930,,,,,
"부산광역시 영도구 절영로13번길 16, 8층 (대교동2가,영도메디칼빌딩)",C,의원,G099,응급의료기관 이외,2,점심 12:30~14:00,,버스정류장: 영도우체국,e-맑은정신과의원,051-415-5307,1800,0900,1800,0900,1200,0900,1800,0900,1800,0900,A1200210,490,36,59,35.091683333333336,129.04141666666797,,,,,,,
"부산광역시 해운대구 좌동순환로 181, 3층 (좌동, 진성빌딩)",G,한의원,G099,응급의료기관 이외,2,"점심13:00-14:00
",,,e-청담한의원,051-701-5559,1900,1400,1900,1400,1900,1400,1900,1400,1900,1000,B1200307,480,75 ,60,35.177959643502895,129.17601786887454,1300,1000,,,,,
부산광역시 동래구 중앙대로 1523 (온천동),N,치과의원,G099,응급의료기관 이외,2,점심시간 13:00-14:30,점심13:00-14:30/예약제/ 영유아구강검진/임플란트/교정/보철/열상치료,"1호선 온천장역 3,5번출구/홈플러스 4층상가",e-플랜트치과의원,051-559-5882,2000,1000,2000,1000,2000,1000,2000,1000,1830,1000,A1203566,477,10 ,61,35.22129102114556,129.08557834772398,1330,0900,,,,,
부산광역시 부산진구 골드테마길 2 (범천동),N,치과의원,G099,응급의료기관 이외,2,점심시간 12:30-14:00,,1호선 범일역 10번출구,e-화이트치과의원,051-633-2272,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,A1202710,473,65 ,62,35.1418531343425,129.060104493306,1300,1000,,,,,
"부산광역시 남구 수영로 299 (대연동, 루미너스타워 7층 일부)",N,치과의원,G099,응급의료기관 이외,2,"야간진료 격주 수요일
점심13:00-14:30",,2호선 경성대 부경대역 6번출구,e라인치과의원,051-612-2885,1900,1030,1900,1030,1900,1030,1900,1030,1900,1030,A1204976,484,34,63,35.13715682152543,129.09886671015752,1300,0900,,,,,
"부산광역시 부산진구 새싹로 17, 서면빌딩 3층 (부전동)",N,치과의원,G099,응급의료기관 이외,2,점심시간 13:00-14:30,,버스정류장; 부암동 롯데마트4층,e사이언스치과의원,051-808-8051,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,A1202650,472,56 ,64,35.163313730746914,129.04935810263007,1330,0930,,,,,
"부산광역시 연제구 중앙대로 1099 (연산동, A동 4층일부)",N,치과의원,G099,응급의료기관 이외,2,점심13:00-14:30,,"1,3호선 연산역 3번출구",e웰니스치과의원,051-867-2885,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,A1202230,475,40 ,65,35.18587637484192,129.0807254940355,1300,0930,,,,,
"부산광역시 해운대구 좌동순환로 182, 302호 (좌동, 명주빌딩)",N,치과의원,G099,응급의료기관 이외,2,점심 13:00~14:00,,"버스정류장: 좌4동 주민센터 맞은편, 우체국 근처",e화이트치과의원,051-702-7522,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,A1202865,480,78 ,66,35.177344444444444,129.175988888888895,1300,0930,,,,,
"부산광역시 사하구 다대로 550, 5층 (다대동)",C,의원,G099,응급의료기관 이외,2,점심시간 12:30~14:00 ,,다대농협사거리 ,the속시원내과의원,051-265-2468,1300,0900,1300,0900,1300,0900,1300,0900,1800,0900,A1205561,494,93 ,67,35.0572865647,128.970745096,1230,0900,,1300,0800,1300,0800
"부산광역시 금정구 구서로 10, 3층 (구서동)",C,의원,G099,응급의료기관 이외,2,점심 13:00-14:00,,1호선 구서역 1번 출구,가까운내과의원,051-710-2788,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,A1206069,462,43 ,68,35.24686646312009,129.09012202100047,1400,0900,,1300,0900,1300,0900
"부산광역시 수영구 수영로 563-1, 지하1~10층 (광안동)",D,요양병원,G099,응급의료기관 이외,2,"점심 12:30-13:30
일요일 문의 ",,2호선 광안역 6번 출구,가나안요양병원,051-752-8000,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,A1206031,482,61 ,69,35.15618417481576,129.1124261830825,1500,1000,,,,,
부산광역시 북구 시랑로131번길 40 (구포동),C,의원,G099,응급의료기관 이외,2,점심시간 12:30-13:30," 수액가능, 소아진료(2살이상), 간단한피부질환, 물리치료, 재활치료",버스정류장: 벽산그린필드 1차아파트,가남의원,051-337-3618,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,A1200676,466,24 ,70,35.197026842118575,129.01111742262338,1400,0900,,,,,
"부산광역시 강서구 동선1길 12-2, 1일부층 (동선동)",G,한의원,G099,응급의료기관 이외,2,점심 13:00-14:00,,,가덕한의원,051-971-8777,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,B1201693,467,69 ,71,35.05565754150001,128.83280689460065,1400,0930,,1300,0900,1400,0900
"부산광역시 북구 낙동대로1722번길 9, 3층 (구포동)",G,한의원,G099,응급의료기관 이외,2,,,,가람한의원,051-714-7477,2100,0900,1900,0900,2100,0900,1900,0900,2100,0900,B1201589,465,01 ,72,35.2076018649,128.9987777569,1500,0900,,,,,
"부산광역시 동래구 금강로10번길 4, 4층,5층 (온천동)",G,한의원,G099,응급의료기관 이외,2,점심시간 13:00~14:00 ,,,가람한의원,051-927-1075,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,B1201588,477,29 ,73,35.2123058247238,129.072449076796,1300,0900,,,,,
"부산광역시 사상구 엄궁북로 22, 2,3층 (엄궁동)",C,의원,G099,응급의료기관 이외,2,점심시간 12:30~14:00,,버스정류장: 엄궁동 행정복지센터 맞은편,가본이비인후과의원,051-325-5075,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,A1205797,470,40 ,74,35.1283374965627,128.9726577618941,1830,0900,,,,,
"부산광역시 부산진구 가야대로 472, 보문빌딩 3층 (개금동)",G,한의원,G099,응급의료기관 이외,2,점심13시-14시,,"가야1 치안센터 
인근 지하철역 2호선 동의대역",가야동의한의원,051-894-1235,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,B1200314,473,23 ,75,35.154205555555556,129.036900000000003,1600,0930,,,,,
"부산광역시 사상구 가야대로 288, 202호 (주례동, 창조상가)",C,의원,G099,응급의료기관 이외,2,점심시간 13:00-14:00,,2호선 주례역 1번출구,가야신경정신과의원,051-322-1300,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,A1200979,470,13 ,76,35.150008333333325,129.00403611111224,1830,0900,,,,,
